#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
OV|ACHA||HHE|9.8278|-85.247597|140.0|0.0|90.0|0.0|Guralp CMG3ESP_120sec/Reftek 130 Datalogger|1.28083E9|0.3|M/S|100.0|2012-10-12T00:00:00.0000|
OV|ACHA||HHN|9.8278|-85.247597|140.0|0.0|0.0|0.0|Guralp CMG3ESP_120sec/Reftek 130 Datalogger|1.27319E9|0.3|M/S|100.0|2012-10-12T00:00:00.0000|
OV|ACHA||HHZ|9.8278|-85.247597|140.0|0.0|0.0|-90.0|Guralp CMG3ESP_120sec/Reftek 130 Datalogger|1.29228E9|0.3|M/S|100.0|2012-10-12T00:00:00.0000|
OV|ACHA||LOG|9.8278|-85.247597|140.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2012-10-12T00:00:00.0000|
OV|BATAN||BHE|10.0978|-83.376099|54.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.27192E8|0.2|M/S|20.0|2007-12-01T00:00:00.0000|
OV|BATAN||BHN|10.0978|-83.376099|54.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.27192E8|0.2|M/S|20.0|2007-12-01T00:00:00.0000|
OV|BATAN||BHZ|10.0978|-83.376099|54.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.27192E8|0.2|M/S|20.0|2007-12-01T00:00:00.0000|
OV|BATAN||HHE|10.0978|-83.376099|54.0|0.0|90.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.27604E8|0.4|M/S|100.0|2007-12-01T00:00:00.0000|
OV|BATAN||HHN|10.0978|-83.376099|54.0|0.0|0.0|0.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.27604E8|0.4|M/S|100.0|2007-12-01T00:00:00.0000|
OV|BATAN||HHZ|10.0978|-83.376099|54.0|0.0|0.0|-90.0|Streckeisen STS-2 G3/Quanterra 330 Linear Phase Be|6.27604E8|0.4|M/S|100.0|2007-12-01T00:00:00.0000|
OV|BATAN||HNE|10.0978|-83.376099|54.0|0.0|90.0|0.0|Episensor 200 Hz 10 Volt per g/Quanterra 330 Linea|427894.0|0.03|M/S**2|200.0|2007-12-01T00:00:00.0000|
