#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
OV|ACHA|9.8278|-85.247597|140.0|ACHA|2012-10-12T00:00:00.0000|
OV|BATAN|10.0978|-83.376099|54.0|BATAN, Limon|2007-12-01T00:00:00.0000|
OV|CABA|10.2362|-85.343399|35.0|Caballito Guanacaste|2000-01-01T00:00:00.0000|
OV|CABS|10.2362|-85.343399|35.0|Caballito, Guanacaste SP|2015-02-12T00:00:00.0000|
OV|CALV|9.7418|-83.933197|2060.0|Estacion Temporal CALV|2013-01-01T00:00:00.0000|
OV|CAO|9.6992|-85.100502|230.0|Cobano, Puntarenas|1984-04-01T00:00:00.0000|
OV|CAO2|9.688|-85.107002|179.0|no, Puntarenas|2012-01-01T00:00:00.0000|
OV|CAR|9.864|-85.480499|52.0|Carrillo|2012-09-08T00:00:00.0000|
OV|CCOL|8.4075|-82.973396|89.0|Caracol de Corredores, Puntarenas|2014-10-09T00:00:00.0000|
OV|CDITO|8.5732|-82.872704|118.0|COLORADITO, Corredores|2008-01-01T00:00:00.0000|
OV|CDM|9.5537|-83.763702|3494.0|CERRO DE LA MUERTE, San Jose|2010-08-09T00:00:00.0000|
OV|COVE|10.7195|-84.401901|115.0|COOPE VEGA, San Carlos, Alajuela|2010-06-03T00:00:00.0000|
OV|CPMI|10.2821|-84.3815|1718.4|Complejo Platanar/Porvenir, La Milagrosa: San Vice|2010-08-09T00:00:00.0000|
OV|CRPO|10.1953|-84.226097|2471.0|crater poas|2011-10-01T00:00:00.0000|
OV|CTCR|8.8906|-82.764|1518.0|Coton, Coto Brus|2016-03-04T00:00:00.0000|
OV|DUNO|10.0791|-85.493698|174.0|DULCE NOMBRE, Nicoya, Guanacaste|2010-06-17T00:00:00.0000|
OV|EPA|9.9863|-84.595001|310.0|Esparza, Puntarenas|1984-04-01T00:00:00.0000|
OV|GRZA|9.9155|-85.635597|39.0|Playa Garza|2012-10-11T00:00:00.0000|
OV|HATI|10.2986|-85.699997|56.0||2000-01-01T00:00:00.0000|
OV|HAYA|9.9801|-83.842796|3245.0|Volcan Irazu|2015-09-02T00:00:00.0000|
OV|HDC3|10.0021|-84.111397|1175.0|HEREDIA, Heredia|2006-11-01T00:00:00.0000|
OV|HRIU|10.5158|-85.750099|306.0|Hotel RIU Guanacaste|2000-01-01T00:00:00.0000|
OV|HZTE|10.7137|-85.595398|194.0|HORIZONTES, Guanacaste|2008-01-01T00:00:00.0000|
OV|INDI|9.8647|-85.502197|74.0|INDI, Punta Indio, Guanacaste|2000-01-01T00:00:00.0000|
OV|IRZ2|9.9688|-83.897499|2950.0|Irazu, Volcan Irazu|1984-04-01T00:00:00.0000|2011-01-01T23:59:59.0000
OV|JACO|9.6624|-84.6595|85.0|JACO, Garabito, Puntarenas|2011-02-18T00:00:00.0000|
OV|JUD3|10.1686|-85.538803|665.0|Juan Diaz, Guanacaste|1984-04-01T00:00:00.0000|
OV|JUDI|10.1659|-85.538803|702.0|Juan Diaz, Guanacaste|2012-10-08T00:00:00.0000|
OV|LAFE|9.8072|-84.910301|69.0|Finca La Fe,Paquera, Puntarenas|2000-01-01T00:00:00.0000|
OV|LAR|9.7085|-84.012299|2040.0|La Roca|1984-04-01T00:00:00.0000|
OV|LEPA|9.9453|-85.031197|17.0|Lepanto, Puntarenas|2015-04-08T00:00:00.0000|
OV|LIBE|10.6168|-85.418602|140.0|Liberia, Guanacaste|2011-10-18T00:00:00.0000|
OV|LORE|10.0432|-83.726898|2430.0|La Lorena, Volcan Turrialba|1984-04-01T00:00:00.0000|
OV|MANS|10.0948|-85.3812|108.0|Mansion, Guanacaste|2012-11-30T00:00:00.0000|2016-08-17T23:59:59.0000
